,stress_spike_pct,stress_cong_threshold,stress_cong_min_days,n_long,xlu_hedge,n_short,stress_day_pct,n_events,sharpe,ann_return,ann_vol,max_dd,hit_rate,sortino,stress_sharpe,calm_sharpe
76,0.95,0.4,10,7,False,5.0,51.2,116,0.093,0.0513,0.1211,-0.1383,0.474,0.122,1.026,-0.65
77,0.95,0.4,7,3,False,5.0,55.9,153,0.087,0.0512,0.129,-0.1441,0.472,0.117,0.804,-0.677
78,0.97,0.5,3,3,False,5.0,59.9,342,0.084,0.0516,0.1372,-0.1975,0.473,0.115,0.15,-0.001
79,0.97,0.4,3,5,False,5.0,66.1,347,0.083,0.051,0.1329,-0.2076,0.465,0.111,-0.101,0.388
80,0.97,0.4,10,5,False,5.0,49.9,109,0.074,0.0489,0.1212,-0.1226,0.464,0.098,0.768,-0.468
81,0.97,0.4,3,7,False,5.0,66.1,347,0.072,0.0494,0.1319,-0.2076,0.466,0.095,-0.105,0.362
82,0.95,0.3,3,3,False,5.0,72.6,347,0.071,0.0505,0.1475,-0.2076,0.476,0.09,0.011,0.222
83,0.95,0.4,10,5,False,3.0,51.2,116,0.071,0.0492,0.1286,-0.1613,0.484,0.093,1.113,-0.798
84,0.97,0.3,3,3,False,5.0,72.1,340,0.071,0.0505,0.1475,-0.2076,0.476,0.09,0.023,0.191
85,0.97,0.4,3,5,False,3.0,66.1,347,0.063,0.0487,0.1371,-0.2076,0.467,0.085,-0.088,0.325
86,0.99,0.3,10,3,False,3.0,55.6,91,0.055,0.0476,0.1364,-0.2356,0.474,0.075,0.798,-0.838
87,0.95,0.3,3,3,False,3.0,72.6,347,0.053,0.0482,0.1542,-0.2076,0.47,0.068,0.032,0.11
88,0.97,0.3,3,3,False,3.0,72.1,340,0.052,0.0481,0.1538,-0.2076,0.47,0.066,0.031,0.107
89,0.99,0.3,10,7,False,3.0,55.6,91,0.047,0.0459,0.1249,-0.2513,0.478,0.062,0.784,-0.703
90,0.97,0.4,10,5,False,3.0,49.9,109,0.03,0.0439,0.1301,-0.1714,0.472,0.04,0.654,-0.488
91,0.99,0.5,3,7,False,3.0,58.1,326,0.03,0.0441,0.1363,-0.2321,0.471,0.039,0.39,-0.404
92,0.95,0.3,7,3,False,5.0,62.1,153,0.023,0.0431,0.1365,-0.2046,0.485,0.028,0.531,-0.754
93,0.99,0.5,7,7,False,5.0,45.9,127,0.011,0.0414,0.122,-0.2183,0.468,0.015,0.597,-0.391
94,0.97,0.3,7,3,False,5.0,61.6,146,0.01,0.0413,0.1359,-0.2375,0.483,0.012,0.504,-0.738
95,0.97,0.5,7,7,False,5.0,48.0,143,0.005,0.0405,0.1197,-0.1901,0.467,0.006,0.227,-0.157
96,0.99,0.5,3,7,False,5.0,58.1,326,0.005,0.0407,0.133,-0.2321,0.47,0.007,0.353,-0.399
97,0.95,0.5,7,7,False,5.0,49.1,150,0.002,0.0403,0.1204,-0.1796,0.473,0.003,0.269,-0.196
98,0.99,0.5,7,5,False,5.0,45.9,127,0.002,0.0403,0.1224,-0.2213,0.468,0.003,0.585,-0.399
