name,type,window_start,window_end,context_start,context_end,iso_list,notes
Winter Storm Uri,cold,2021-02-10,2021-02-20,2021-01-15,2021-03-15,"['ERCOT', 'SPP', 'MISO']","ERCOT near-collapse. Massive LMP spikes. NRG, VST, CNP, AEP most affected."
ERCOT LMP Spike 2021-02-13,lmp_spike,2021-02-13,2021-02-20,2021-01-30,2021-03-06,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT Congestion 2021-03-07,congestion,2021-03-07,2021-03-18,2021-02-28,2021-03-25,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2021-03-20,congestion,2021-03-20,2021-04-03,2021-03-13,2021-04-10,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2021-04-20,congestion,2021-04-20,2021-05-12,2021-04-13,2021-05-19,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
Hurricane Ida,hurricane,2021-08-29,2021-09-05,2021-07-01,2021-10-01,['MISO'],Cat 4 landfall Louisiana. Entergy Louisiana ~900k outages.
ERCOT Congestion 2021-11-02,congestion,2021-11-02,2021-11-21,2021-10-26,2021-11-28,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2021-12-09,congestion,2021-12-09,2021-12-18,2021-12-02,2021-12-25,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT West Texas Congestion,congestion,2022-03-01,2022-03-31,2021-01-01,2023-12-31,['ERCOT'],Chronic west-to-east congestion from wind buildout exceeding transmission.
ERCOT Congestion 2022-03-16,congestion,2022-03-16,2022-04-01,2022-03-09,2022-04-08,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2022-04-17,congestion,2022-04-17,2022-05-05,2022-04-10,2022-05-12,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ERCOT LMP Spike 2022-05-13,lmp_spike,2022-05-13,2022-05-15,2022-04-29,2022-05-29,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT LMP Spike 2022-07-11,lmp_spike,2022-07-11,2022-07-14,2022-06-27,2022-07-28,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT LMP Spike 2022-07-18,lmp_spike,2022-07-18,2022-07-20,2022-07-04,2022-08-03,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
California Heat Dome,heat,2022-09-05,2022-09-09,2022-08-01,2022-10-01,['CAISO'],"CAISO Flex Alert x7 days. SP15 LMPs >$2,000. Relevant for PCG, EIX."
ERCOT Congestion 2022-11-28,congestion,2022-11-28,2022-12-08,2022-11-21,2022-12-15,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
ISO-NE Winter Storm Elliott,cold,2022-12-22,2022-12-26,2022-11-01,2023-03-01,"['ISO-NE', 'PJM']",Bomb cyclone. Gas supply stress. Relevant for ES.
ERCOT Congestion 2022-12-31,congestion,2022-12-31,2023-02-01,2022-12-24,2023-02-08,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-01-11,congestion,2023-01-11,2023-01-20,2023-01-04,2023-01-27,['MISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-02-01,congestion,2023-02-01,2023-02-27,2023-01-25,2023-03-06,['MISO'],Algo-detected: congestion_frac ≥ 30%
ERCOT Congestion 2023-02-06,congestion,2023-02-06,2023-05-15,2023-01-30,2023-05-22,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-03-05,congestion,2023-03-05,2023-03-26,2023-02-26,2023-04-02,['MISO'],Algo-detected: congestion_frac ≥ 30%
CAISO Congestion 2023-04-01,congestion,2023-04-01,2023-04-11,2023-03-25,2023-04-18,['CAISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-04-01,congestion,2023-04-01,2023-04-22,2023-03-25,2023-04-29,['MISO'],Algo-detected: congestion_frac ≥ 30%
MISO Congestion 2023-05-21,congestion,2023-05-21,2023-05-30,2023-05-14,2023-06-06,['MISO'],Algo-detected: congestion_frac ≥ 30%
ERCOT Heat Emergency Jun 2023,heat,2023-06-15,2023-06-28,2023-05-01,2023-08-01,['ERCOT'],"Multiple ERCOT conservation notices. HB_NORTH spiked above $5,000/MWh."
CAISO Congestion 2023-06-17,congestion,2023-06-17,2023-06-26,2023-06-10,2023-07-03,['CAISO'],Algo-detected: congestion_frac ≥ 30%
CAISO LMP Spike 2023-07-21,lmp_spike,2023-07-21,2023-07-29,2023-07-07,2023-08-12,['CAISO'],Algo-detected: lmp_max ≥ 235 $/MWh
ERCOT LMP Spike 2023-08-05,lmp_spike,2023-08-05,2023-08-07,2023-07-22,2023-08-21,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT LMP Spike 2023-08-10,lmp_spike,2023-08-10,2023-08-12,2023-07-27,2023-08-26,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
CAISO LMP Spike 2023-08-14,lmp_spike,2023-08-14,2023-08-17,2023-07-31,2023-08-31,['CAISO'],Algo-detected: lmp_max ≥ 235 $/MWh
ERCOT LMP Spike 2023-08-14,lmp_spike,2023-08-14,2023-08-19,2023-07-31,2023-09-02,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT LMP Spike 2023-08-24,lmp_spike,2023-08-24,2023-08-28,2023-08-10,2023-09-11,['ERCOT'],Algo-detected: lmp_max ≥ 766 $/MWh
ERCOT Congestion 2023-08-27,congestion,2023-08-27,2023-09-08,2023-08-20,2023-09-15,['ERCOT'],Algo-detected: congestion_frac ≥ 30%
CAISO LMP Spike 2023-08-28,lmp_spike,2023-08-28,2023-08-30,2023-08-14,2023-09-13,['CAISO'],Algo-detected: lmp_max ≥ 235 $/MWh
